category_id,category_name,size,ES,NES,p_value,leading_edge_size,leading_edge_genes,q_value
M00119,"Pantothenate biosynthesis, valine/L-aspartate => pantothenate",5,-0.34535010264297983,-0.6480777549312023,0.8449848024316109,2,"K01579,K00826",0.9138354159630755
M00696,"Multidrug resistance, efflux pump AcrEF-TolC",4,-0.3614976805831713,-0.6460545030358504,0.8632218844984803,4,"K18141,K18142,K12340,K18140",0.9266940818880743
M00096,"C5 isoprenoid biosynthesis, non-mevalonate pathway",8,-0.29781382723036126,-0.6239950097967516,0.887785501489573,5,"K03526,K01662,K01770,K00991,K03527",0.9443047071505569
M00989,"Ubiquinone biosynthesis, O2-independent, prokaryotes, chorismate (+ polyprenyl-PP) => ubiquinol",9,-0.28874875539329303,-0.6241636005722935,0.8925619834710744,9,"K24845,K03186,K24844,K03183,K24843,K00568,K03179,K03181,K03182",0.9443047071505569
M00846,"Siroheme biosynthesis, glutamyl-tRNA => siroheme",7,-0.3008501118133417,-0.5990891336394519,0.9026369168356998,1,K01845,0.948093452215915
M00116,"Menaquinone biosynthesis, chorismate (+ polyprenyl-PP) => menaquinol",9,-0.2747314126749661,-0.5938635042494195,0.9163223140495868,2,"K01911,K02548",0.9542282039905061
M00125,"Riboflavin biosynthesis, plants and bacteria, GTP => riboflavin/FMN/FAD",8,-0.2796706142522536,-0.5859804069648228,0.9215491559086395,2,"K20862,K00794",0.9542282039905061
M00124,"Pyridoxal phosphate biosynthesis, erythrose-4P => pyridoxal-P",6,0.28647214854111414,0.5507274237317641,0.9329388560157791,6,"K03474,K00097,K03473,K03472,K00275,K00831",0.9546153846153848
M00849,"C5 isoprenoid biosynthesis, mevalonate pathway, archaea",3,0.3443325186924582,0.5667719812482916,0.935,2,"K01823,K03186",0.9546153846153848
M00911,"Riboflavin biosynthesis, fungi, GTP => riboflavin/FMN/FAD",4,-0.30535815933594346,-0.5457241483803557,0.9442755825734549,1,K00794,0.9573905212203084
M00932,"Phylloquinone biosynthesis, chorismate (+ phytyl-PP) => phylloquinol",7,0.2649666109175849,0.5253167265560134,0.9557086614173228,2,"K19222,K08680",0.962299755633994
M00117,"Ubiquinone biosynthesis, prokaryotes, chorismate (+ polyprenyl-PP) => ubiquinol",9,0.2163956189844012,0.46391479226793186,0.9874274661508704,9,"K03184,K03186,K03185,K18800,K03183,K00568,K03179,K03181,K03182",0.9874274661508704
